 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85
1	621.744	551.004	414.985	819.705	503.123	593.133	595.177	531.425	567.712	543.818	1473.095	469.703	987.203	420.120	685.562	477.633	799.722	790.609	865.009	1451.591	739.921	835.781	787.864	626.766	767.878	586.095	708.776	616.543	693.403	558.459	771.310	981.828	2568.747	632.357	685.289	751.082	728.710	678.260	606.722	670.318	522.025	911.464	843.742	665.610	929.534	833.853	566.210	717.903	804.618	662.647	892.060	623.629	511.501	486.102	720.066	916.394	635.713	909.740	2279.255	538.688	3689.591	508.015	1338.152	795.580	1365.463	1216.170	1462.245	1162.318	1235.190	1449.721	684.244	1565.812	348.720	385.103	396.801	504.990	577.776	667.697	612.407	714.186	445.872	705.215	1540.216	846.743	545.074
2	608.210	530.201	427.025	821.499	601.968	596.869	603.915	529.291	565.658	478.314	1279.696	504.278	881.528	446.041	639.610	544.597	766.935	860.443	754.256	1350.957	819.282	793.706	735.043	699.846	762.477	542.291	655.842	605.416	586.874	541.335	817.062	905.065	2415.043	545.529	616.535	770.994	699.927	681.898	523.256	631.016	560.876	892.813	663.269	627.580	898.912	797.499	550.111	742.028	698.900	731.632	873.397	614.255	495.258	418.970	804.693	844.216	617.418	959.798	2057.007	568.667	3769.382	541.264	1304.613	739.699	1646.122	1347.683	1243.259	979.972	1166.024	1268.025	617.483	1512.622	303.920	395.992	359.435	494.416	568.493	695.842	645.591	607.203	477.183	698.219	1501.317	838.107	572.695
3	642.508	570.761	452.966	804.431	565.480	506.484	577.127	502.360	515.745	581.763	1167.297	467.872	744.598	436.291	661.110	525.966	848.990	766.247	769.507	1348.840	867.350	824.685	825.230	690.556	680.395	584.079	712.181	605.945	726.104	541.201	838.894	1014.662	2301.849	580.877	655.811	753.542	662.417	673.451	503.575	517.788	590.358	879.080	700.916	640.158	978.725	732.625	501.725	757.390	683.047	719.290	806.512	648.622	479.116	509.067	692.833	897.234	606.958	930.316	2226.343	591.277	3491.581	496.402	1369.688	778.023	1637.459	1351.175	1420.381	1057.566	1292.307	1237.941	663.250	1509.352	349.207	394.455	371.805	516.370	523.099	694.808	579.989	651.606	518.626	611.794	1312.123	789.124	543.543
4	582.987	605.619	409.392	869.592	548.503	621.069	577.995	553.543	534.578	472.924	1182.695	427.706	814.681	435.801	681.591	511.602	790.942	906.391	740.278	1333.020	776.489	863.459	778.906	556.185	716.583	578.670	633.286	602.470	628.312	559.003	687.971	934.527	2287.623	586.010	699.497	752.237	645.817	570.837	442.820	534.947	528.596	882.799	735.984	573.622	955.376	747.855	502.980	645.683	786.817	703.556	753.518	699.497	476.365	455.951	742.741	839.165	599.059	928.672	2232.020	504.995	3791.124	488.254	1177.043	815.220	1666.241	1368.540	1193.936	983.726	1184.217	1263.033	596.056	1503.616	337.654	382.237	359.717	467.529	564.355	806.064	587.996	647.070	432.241	627.010	1343.322	796.507	609.234
5	613.097	527.433	411.812	826.536	534.844	551.778	608.124	497.073	514.518	510.283	999.221	445.086	742.760	434.742	736.683	490.468	766.056	849.509	715.427	1284.271	811.425	737.803	762.414	611.663	749.529	514.954	662.109	621.972	747.155	479.953	826.618	882.213	2366.153	625.765	701.069	688.127	678.140	666.730	500.600	550.541	493.952	888.941	781.910	643.678	1019.727	623.409	575.935	759.349	738.130	646.877	772.247	628.965	505.783	504.051	720.405	819.201	573.876	932.245	2312.388	532.176	3627.497	502.282	1215.353	719.989	1541.099	1227.925	1249.883	1054.039	1156.252	1100.322	671.978	1542.301	300.643	374.101	356.513	497.533	519.723	741.197	631.115	682.209	497.922	656.538	1099.902	766.854	588.410
6	571.618	581.729	434.085	787.515	500.370	523.337	573.156	569.819	552.951	514.140	998.076	452.709	721.314	455.993	629.298	509.940	763.873	843.297	755.274	1172.894	766.516	731.800	742.764	610.411	719.337	548.426	644.817	606.625	594.539	536.844	728.262	921.297	2164.450	566.567	668.091	708.758	624.630	630.919	513.614	536.733	580.400	859.398	836.807	654.000	843.157	694.702	574.090	723.049	661.088	708.924	760.690	640.096	547.478	475.806	755.023	811.467	560.418	860.914	2187.950	579.139	3545.515	475.133	1358.660	654.009	1349.884	1182.494	1068.890	924.702	1225.850	1238.053	677.578	1542.023	299.819	342.065	396.181	498.519	514.067	748.402	660.934	695.133	505.161	609.448	1114.880	780.607	553.999
7	599.361	508.669	421.965	844.883	581.327	586.957	634.608	481.590	524.325	557.198	901.172	456.905	661.580	458.623	701.139	489.207	737.390	838.542	666.158	1224.932	759.742	769.931	719.598	648.209	658.902	583.478	691.143	659.330	628.495	530.728	748.133	972.407	2203.527	620.070	688.003	736.266	611.110	542.386	469.210	584.127	529.294	769.097	786.954	560.848	927.912	697.804	511.087	757.615	673.226	594.435	737.249	655.201	517.773	439.292	781.092	749.524	553.812	862.568	2249.635	567.693	3638.268	475.724	1189.286	732.778	1472.864	1032.361	1333.266	1044.650	1246.626	1359.744	676.017	1489.654	299.050	427.273	351.419	486.414	463.789	722.477	566.391	694.476	496.761	660.815	1176.030	790.550	572.452
8	622.752	551.104	465.366	834.886	541.313	603.764	611.146	596.845	526.302	484.905	891.617	433.605	720.223	441.090	701.159	478.460	841.923	709.930	674.021	1102.867	739.797	763.291	723.491	670.503	733.644	573.680	674.829	606.065	650.314	544.627	846.302	885.061	2220.933	583.249	723.035	766.020	672.730	584.454	453.831	506.053	560.927	859.837	744.766	600.276	873.760	709.005	483.185	682.231	703.946	588.706	848.466	682.356	484.617	442.315	754.300	811.704	595.453	869.873	2171.153	530.105	3564.022	478.308	1119.022	720.310	1578.752	1145.826	1120.333	916.086	1264.061	1309.404	729.594	1554.380	314.167	375.719	369.435	478.700	571.324	717.515	562.667	664.772	497.446	623.199	1008.653	793.557	515.668
9	593.132	574.303	402.831	766.824	483.301	516.537	608.156	487.683	509.368	476.673	840.911	485.698	738.230	429.083	734.080	525.196	794.706	844.783	670.218	1065.315	748.935	786.778	733.123	614.187	731.710	539.905	699.293	620.586	606.326	538.876	837.258	967.945	2172.957	529.037	726.645	655.078	603.320	618.330	455.307	518.812	594.017	892.315	789.793	593.838	797.296	642.907	444.702	685.976	644.219	662.464	812.096	653.995	496.204	445.769	672.904	752.083	540.460	856.761	2193.513	528.340	3456.140	479.908	1195.368	667.816	1232.323	1007.286	1096.124	979.395	1308.895	1290.957	684.386	1499.103	326.404	394.300	391.040	486.971	505.886	792.410	544.389	720.517	458.714	684.972	1168.661	754.867	564.355
10	553.333	562.160	383.952	753.539	488.810	557.420	552.153	564.977	521.886	559.131	821.184	424.570	662.753	435.749	697.076	435.668	719.152	804.923	712.863	1004.091	741.455	741.598	680.739	674.107	717.908	545.385	709.446	606.824	643.316	464.595	762.570	936.715	2070.657	594.975	616.513	703.938	672.520	590.675	523.986	557.519	478.880	873.100	697.326	511.782	914.780	644.855	509.125	657.734	671.935	645.400	757.921	729.245	544.397	468.465	729.380	787.933	604.016	898.432	2257.487	546.718	3665.967	470.249	1191.515	643.329	1814.721	1087.956	1003.470	964.447	1236.165	1161.979	670.428	1498.687	326.698	368.613	337.014	477.000	463.656	743.286	573.254	696.422	454.117	642.465	1098.902	812.623	558.906
