 	X	Y
1	109.194	315.366
2	111.023	329.233
3	123.968	331.211
4	71.152	226.201
5	82.632	240.183
6	109.063	240.355
7	100.108	235.887
8	130.109	275.029
9	195.026	306.444
10	205.986	310.217
11	228.228	315.372
12	179.389	337.000
13	236.880	263.236
14	173.614	213.921
15	170.339	191.780
16	69.412	180.038
17	125.690	109.129
18	158.881	123.660
19	285.394	244.445
20	304.014	252.853
21	245.947	325.771
22	213.619	299.426
23	212.981	285.204
24	264.619	248.499
25	65.127	148.365
26	28.320	221.932
27	48.351	225.656
28	160.807	318.455
29	197.357	185.774
30	202.228	328.833
31	326.928	332.328
32	342.322	332.204
33	267.283	325.331
34	234.466	195.899
35	22.580	308.146
36	255.732	303.800
37	224.076	281.209
38	151.549	187.041
39	207.588	155.217
40	142.878	275.065
41	37.853	234.083
42	14.115	297.504
43	29.573	302.009
44	23.154	296.320
45	263.836	311.583
46	224.193	299.336
47	213.932	250.660
48	204.189	180.458
49	180.540	181.768
50	37.273	211.315
51	49.426	214.151
52	90.629	215.641
53	62.112	262.787
54	70.046	265.513
55	6.291	233.563
56	248.720	255.710
57	228.771	184.081
58	347.836	287.463
59	39.280	178.527
60	52.092	101.181
61	386.207	137.636
62	145.306	312.003
63	267.658	213.100
64	169.666	146.318
65	272.468	315.033
66	296.337	241.426
67	277.330	214.035
68	281.016	314.469
69	324.618	319.825
70	340.317	320.864
71	276.220	223.556
72	378.691	335.609
73	95.753	376.361
74	74.844	289.163
75	75.810	307.404
76	13.451	244.995
77	31.824	243.983
78	160.008	189.418
79	206.580	273.912
80	298.512	207.073
81	28.311	234.770
82	72.099	206.306
83	211.458	177.805
84	237.155	243.025
85	257.145	151.584
